'number','vadskl','vajdkslvkald','adjvlksdlkv'
'0','Myla Lu','Rihanna Lacey','Myla Lu'
'1','Bogdan Neale','Randall Spooner','Luke Deacon'
'2','Luke Deacon','Kodi Travers','Sia Hughes'
'3','Kodi Travers','Addison Jensen','Rajveer Stewart'
'4','Randall Spooner','Kodi Travers','Kodi Travers'
'5','Rajveer Stewart','Rohit Franklin','Arwa Pearson'
'6','Kodi Travers','Inaya Portillo','Myla Lu'
'7','Luke Deacon','Nansi Whitaker','Rajveer Stewart'
'8','Marius Gay','Luke Deacon','Ebrahim Marks'
'9','Arwa Pearson','Nansi Whitaker','Inaya Portillo'
'10','Rihanna Lacey','Safia Dunn','Rohit Franklin'
'11','Myla Lu','Rajveer Stewart','Safia Dunn'
'12','Marius Gay','Rohit Franklin','Opal Duffy'
'13','Bogdan Neale','Addison Jensen','Halimah Vance'
'14','Kodi Travers','Rihanna Lacey','Rohit Franklin'
'15','Safia Dunn','Randall Spooner','Randall Spooner'
'16','Inaya Portillo','Rihanna Lacey','Inaya Portillo'
'17','Ebrahim Marks','Myla Lu','Kodi Travers'
'18','Rohit Franklin','Luke Deacon','Nuala Chester'
'19','Kodi Travers','Marius Gay','Sia Hughes'
'20','Halimah Vance','Opal Duffy','Ebrahim Marks'
'21','Inaya Portillo','Myla Lu','Ebrahim Marks'
'22','Myla Lu','Nansi Whitaker','Arwa Pearson'
'23','Halimah Vance','Luke Deacon','Myla Lu'
'24','Rajveer Stewart','Arwa Pearson','Bogdan Neale'
'25','Ebrahim Marks','Nuala Chester','Kodi Travers'
'26','Randall Spooner','Addison Jensen','Marius Gay'
'27','Kodi Travers','Nansi Whitaker','Nuala Chester'
'28','Safia Dunn','Bogdan Neale','Nansi Whitaker'
'29','Halimah Vance','Kodi Travers','Nansi Whitaker'
'30','Luke Deacon','Elize Oliver','Nuala Chester'
'31','Halimah Vance','Nansi Whitaker','Rihanna Lacey'
'32','Inaya Portillo','Nuala Chester','Marius Gay'
'33','Ebrahim Marks','Opal Duffy','Kodi Travers'
'34','Addison Jensen','Marius Gay','Ebrahim Marks'
'35','Nansi Whitaker','Marius Gay','Nansi Whitaker'
'36','Myla Lu','Kodi Travers','Addison Jensen'
'37','Kodi Travers','Myla Lu','Nansi Whitaker'
'38','Arwa Pearson','Elize Oliver','Luke Deacon'
'39','Addison Jensen','Inaya Portillo','Nuala Chester'
'40','Luke Deacon','Nuala Chester','Bogdan Neale'
'41','Safia Dunn','Myla Lu','Bogdan Neale'
'42','Rohit Franklin','Sia Hughes','Ebrahim Marks'
'43','Nuala Chester','Rajveer Stewart','Halimah Vance'
'44','Rohit Franklin','Randall Spooner','Rohit Franklin'
'45','Luke Deacon','Luke Deacon','Elize Oliver'
'46','Randall Spooner','Rohit Franklin','Nansi Whitaker'
'47','Addison Jensen','Inaya Portillo','Nuala Chester'
'48','Safia Dunn','Ebrahim Marks','Myla Lu'
'49','Halimah Vance','Safia Dunn','Nuala Chester'
'50','Halimah Vance','Ebrahim Marks','Luke Deacon'
'51','Randall Spooner','Marius Gay','Arwa Pearson'
'52','Rihanna Lacey','Safia Dunn','Marius Gay'
'53','Bogdan Neale','Luke Deacon','Safia Dunn'
'54','Sia Hughes','Opal Duffy','Safia Dunn'
'55','Halimah Vance','Nuala Chester','Nansi Whitaker'
'56','Rohit Franklin','Luke Deacon','Nuala Chester'
'57','Kodi Travers','Ebrahim Marks','Rajveer Stewart'
'58','Rajveer Stewart','Opal Duffy','Addison Jensen'
'59','Opal Duffy','Myla Lu','Nansi Whitaker'
'60','Arwa Pearson','Luke Deacon','Marius Gay'
'61','Luke Deacon','Opal Duffy','Myla Lu'
'62','Safia Dunn','Ebrahim Marks','Luke Deacon'
'63','Rohit Franklin','Inaya Portillo','Rihanna Lacey'
'64','Rihanna Lacey','Arwa Pearson','Opal Duffy'
'65','Marius Gay','Halimah Vance','Safia Dunn'
'66','Elize Oliver','Rihanna Lacey','Nuala Chester'
'67','Randall Spooner','Nuala Chester','Rajveer Stewart'
'68','Rihanna Lacey','Sia Hughes','Randall Spooner'
'69','Bogdan Neale','Elize Oliver','Rajveer Stewart'
'70','Rohit Franklin','Halimah Vance','Nansi Whitaker'
'71','Rihanna Lacey','Nuala Chester','Myla Lu'
